

1640088675.916726037  Node Startup
1640088676.279567956 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640088678.387713909 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640088679.605392456 INFO /sensor/process_tactile_pressure [pressure_LocAndForceEstimation.py:95(LocAndForceEstimation.start)] [topics: /rosout, /sensor/estimated_ForceAndLoc, /sensor/pressure_reset, /sensor/pressure_data] pressure data processing package started 
1640088693.392234086 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640088693.394845962 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640088708.398840904 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640088708.401546955 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640088723.403654098 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640088723.404340982 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640088738.406258106 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640088738.407371044 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640088739.698729991 INFO /sensor/tactile_pressure [SerialClient.py:423(SerialClient.txStopRequest)] [topics: /diagnostics, /rosout] Send tx stop request
