[rosmaster.main][INFO] 2022-02-14 13:50:41,766: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-14 13:50:41,766: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-14 13:50:41,767: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-14 13:50:41,767: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2022-02-14 13:50:41,767: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-14 13:50:41,767: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2022-02-14 13:50:41,805: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:41,806: +PARAM [/roslaunch/uris/host_fm00351_u__42461] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:42,077: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:42,078: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:42,078: +PARAM [/baud_pressure] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:42,078: +PARAM [/port_pressure] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 13:50:42,082: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:37323/
[rosmaster.master][INFO] 2022-02-14 13:50:42,082: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:37323/
[rosmaster.master][INFO] 2022-02-14 13:50:42,083: +PUB [/rosout_agg] /rosout http://FM00351-u:37323/
[rosmaster.master][INFO] 2022-02-14 13:50:42,084: +SUB [/rosout] /rosout http://FM00351-u:37323/
[rosmaster.master][INFO] 2022-02-14 13:50:42,478: +PUB [/rosout] /sensor/tactile_pressure http://FM00351-u:34187/
[rosmaster.master][INFO] 2022-02-14 13:50:42,484: +SERVICE [/sensor/tactile_pressure/get_loggers] /sensor/tactile_pressure http://FM00351-u:34187/
[rosmaster.master][INFO] 2022-02-14 13:50:42,484: +SERVICE [/sensor/tactile_pressure/set_logger_level] /sensor/tactile_pressure http://FM00351-u:34187/
[rosmaster.master][INFO] 2022-02-14 13:50:42,485: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2022-02-14 13:50:42,487: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2022-02-14 13:50:42,488: +SERVICE [/sensor/tactile_pressure/reset_arduino] /sensor/tactile_pressure http://FM00351-u:34187/
[rosmaster.master][INFO] 2022-02-14 13:50:42,488: +PUB [/diagnostics] /sensor/tactile_pressure http://FM00351-u:34187/
[rosmaster.master][INFO] 2022-02-14 13:50:42,567: publisherUpdate[/rosout] -> http://FM00351-u:37323/ ['http://FM00351-u:34187/']
[rosmaster.master][INFO] 2022-02-14 13:50:42,580: publisherUpdate[/rosout] -> http://FM00351-u:37323/ ['http://FM00351-u:34187/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-14 13:50:42,745: +PUB [/rosout] /sensor/process_tactile_pressure http://FM00351-u:46007/
[rosmaster.master][INFO] 2022-02-14 13:50:42,749: +SERVICE [/sensor/process_tactile_pressure/get_loggers] /sensor/process_tactile_pressure http://FM00351-u:46007/
[rosmaster.master][INFO] 2022-02-14 13:50:42,751: +SERVICE [/sensor/process_tactile_pressure/set_logger_level] /sensor/process_tactile_pressure http://FM00351-u:46007/
[rosmaster.master][INFO] 2022-02-14 13:50:42,755: +SUB [/sensor/pressure_reset] /sensor/process_tactile_pressure http://FM00351-u:46007/
[rosmaster.master][INFO] 2022-02-14 13:50:42,758: +SUB [/sensor/pressure_data] /sensor/process_tactile_pressure http://FM00351-u:46007/
[rosmaster.master][INFO] 2022-02-14 13:50:42,759: +PUB [/sensor/estimated_ForceAndLoc] /sensor/process_tactile_pressure http://FM00351-u:46007/
