[rosmaster.main][INFO] 2021-12-13 09:29:00,708: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-13 09:29:00,709: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-13 09:29:00,709: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-13 09:29:00,709: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-13 09:29:00,709: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-13 09:29:00,710: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-13 09:29:00,764: +PUB [/rosout] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,770: +SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,772: +SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,775: +PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,777: +SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,780: -SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,780: -PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,780: -PUB [/rosout] /robotiq2FGripper http://FM00351-u:42939/
[rosmaster.master][INFO] 2021-12-13 09:29:00,780: -SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper rosrpc://FM00351-u:43553
[rosmaster.master][INFO] 2021-12-13 09:29:00,780: -SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper rosrpc://FM00351-u:43553
[rosmaster.master][INFO] 2021-12-13 09:29:00,810: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:00,812: +PARAM [/roslaunch/uris/host_fm00351_u__44935] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:00,912: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:00,912: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:00,929: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:36081/
[rosmaster.master][INFO] 2021-12-13 09:29:00,929: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:36081/
[rosmaster.master][INFO] 2021-12-13 09:29:00,930: +PUB [/rosout_agg] /rosout http://FM00351-u:36081/
[rosmaster.master][INFO] 2021-12-13 09:29:00,932: +SUB [/rosout] /rosout http://FM00351-u:36081/
[rosmaster.master][INFO] 2021-12-13 09:29:01,229: +PUB [/rosout] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,235: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,238: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,243: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,244: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,245: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,247: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,248: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,250: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,251: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:44351/
[rosmaster.master][INFO] 2021-12-13 09:29:01,310: publisherUpdate[/rosout] -> http://FM00351-u:36081/ ['http://FM00351-u:44351/']
[rosmaster.master][INFO] 2021-12-13 09:29:01,313: publisherUpdate[/rosout] -> http://FM00351-u:36081/ ['http://FM00351-u:44351/']: sec=0.00, result=[1, '', 0]
