[rosmaster.main][INFO] 2022-02-14 15:09:44,483: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-14 15:09:44,483: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-14 15:09:44,484: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-14 15:09:44,484: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2022-02-14 15:09:44,484: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2022-02-14 15:09:44,485: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-14 15:09:44,524: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 15:09:44,526: +PARAM [/roslaunch/uris/host_fm00351_u__42645] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 15:09:44,793: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 15:09:44,793: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-14 15:09:44,797: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:44,798: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:44,798: +PUB [/rosout_agg] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:44,799: +SUB [/rosout] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:45,154: +PUB [/rosout] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,158: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,159: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,163: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,165: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,166: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,170: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,172: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,176: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,178: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:45,185: publisherUpdate[/rosout] -> http://FM00351-u:37721/ ['http://FM00351-u:37203/']
[rosmaster.master][INFO] 2022-02-14 15:09:45,196: publisherUpdate[/rosout] -> http://FM00351-u:37721/ ['http://FM00351-u:37203/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -SUB [/gripper_action_server/goal] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -PUB [/gripper_action_server/status] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -PUB [/rosout] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -PUB [/gripper_action_server/result] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:37203/
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -SERVICE [/frogs/get_loggers] /frogs rosrpc://FM00351-u:40583
[rosmaster.master][INFO] 2022-02-14 15:09:56,380: -SERVICE [/frogs/set_logger_level] /frogs rosrpc://FM00351-u:40583
[rosmaster.master][INFO] 2022-02-14 15:09:56,409: publisherUpdate[/rosout] -> http://FM00351-u:37721/ []
[rosmaster.master][INFO] 2022-02-14 15:09:56,418: publisherUpdate[/rosout] -> http://FM00351-u:37721/ []: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-14 15:09:56,719: -PUB [/rosout_agg] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:56,720: -SUB [/rosout] /rosout http://FM00351-u:37721/
[rosmaster.master][INFO] 2022-02-14 15:09:56,720: -SERVICE [/rosout/get_loggers] /rosout rosrpc://FM00351-u:48087
[rosmaster.master][INFO] 2022-02-14 15:09:56,720: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://FM00351-u:48087
[rosmaster.main][INFO] 2022-02-14 15:09:56,781: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-02-14 15:09:56,781: stopping master...
[rospy.core][INFO] 2022-02-14 15:09:56,781: signal_shutdown [atexit]
