[rosmaster.main][INFO] 2021-12-13 09:29:35,445: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-13 09:29:35,445: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-13 09:29:35,446: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-13 09:29:35,446: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-13 09:29:35,446: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-13 09:29:35,446: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-13 09:29:35,549: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:35,551: +PARAM [/roslaunch/uris/host_fm00351_u__35871] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:35,642: +PUB [/rosout] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,643: +SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,644: +SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,645: +PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,646: +SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,647: -SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,647: -PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,647: -PUB [/rosout] /robotiq2FGripper http://FM00351-u:44751/
[rosmaster.master][INFO] 2021-12-13 09:29:35,647: -SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper rosrpc://FM00351-u:44383
[rosmaster.master][INFO] 2021-12-13 09:29:35,647: -SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper rosrpc://FM00351-u:44383
[rosmaster.master][INFO] 2021-12-13 09:29:35,666: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:35,666: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-13 09:29:35,669: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:33201/
[rosmaster.master][INFO] 2021-12-13 09:29:35,670: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:33201/
[rosmaster.master][INFO] 2021-12-13 09:29:35,670: +PUB [/rosout_agg] /rosout http://FM00351-u:33201/
[rosmaster.master][INFO] 2021-12-13 09:29:35,673: +SUB [/rosout] /rosout http://FM00351-u:33201/
[rosmaster.master][INFO] 2021-12-13 09:29:35,968: +PUB [/rosout] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,974: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,977: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,982: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,982: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,983: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,985: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,986: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,989: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:35,990: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:37141/
[rosmaster.master][INFO] 2021-12-13 09:29:36,046: publisherUpdate[/rosout] -> http://FM00351-u:33201/ ['http://FM00351-u:37141/']
[rosmaster.master][INFO] 2021-12-13 09:29:36,050: publisherUpdate[/rosout] -> http://FM00351-u:33201/ ['http://FM00351-u:37141/']: sec=0.00, result=[1, '', 0]
