[rosmaster.main][INFO] 2021-12-21 13:10:27,986: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 13:10:27,986: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 13:10:27,987: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 13:10:27,987: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 13:10:27,987: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 13:10:27,987: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 13:10:28,023: +PUB [/rosout] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,024: +SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,024: +SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,025: +PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,026: +SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,027: -SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,027: -PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,027: -PUB [/rosout] /robotiq2FGripper http://FM00351-u:46231/
[rosmaster.master][INFO] 2021-12-21 13:10:28,027: -SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper rosrpc://FM00351-u:34681
[rosmaster.master][INFO] 2021-12-21 13:10:28,027: -SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper rosrpc://FM00351-u:34681
[rosmaster.master][INFO] 2021-12-21 13:10:28,066: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:10:28,066: +PARAM [/roslaunch/uris/host_fm00351_u__36883] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:10:28,159: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:10:28,159: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:10:28,165: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:46863/
[rosmaster.master][INFO] 2021-12-21 13:10:28,165: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:46863/
[rosmaster.master][INFO] 2021-12-21 13:10:28,166: +PUB [/rosout_agg] /rosout http://FM00351-u:46863/
[rosmaster.master][INFO] 2021-12-21 13:10:28,167: +SUB [/rosout] /rosout http://FM00351-u:46863/
[rosmaster.master][INFO] 2021-12-21 13:10:28,474: +PUB [/rosout] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,478: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,479: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,481: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,482: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,482: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,483: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,483: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,484: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,485: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:38751/
[rosmaster.master][INFO] 2021-12-21 13:10:28,487: publisherUpdate[/rosout] -> http://FM00351-u:46863/ ['http://FM00351-u:38751/']
[rosmaster.master][INFO] 2021-12-21 13:10:28,495: publisherUpdate[/rosout] -> http://FM00351-u:46863/ ['http://FM00351-u:38751/']: sec=0.01, result=[1, '', 0]
