[rosmaster.main][INFO] 2021-12-21 13:54:08,217: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 13:54:08,217: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 13:54:08,218: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 13:54:08,218: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 13:54:08,218: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 13:54:08,218: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 13:54:08,304: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:54:08,305: +PARAM [/roslaunch/uris/host_fm00351_u__37793] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:54:08,405: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:54:08,405: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:54:08,410: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:34923/
[rosmaster.master][INFO] 2021-12-21 13:54:08,411: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:34923/
[rosmaster.master][INFO] 2021-12-21 13:54:08,411: +PUB [/rosout_agg] /rosout http://FM00351-u:34923/
[rosmaster.master][INFO] 2021-12-21 13:54:08,413: +SUB [/rosout] /rosout http://FM00351-u:34923/
[rosmaster.master][INFO] 2021-12-21 13:54:08,722: +PUB [/rosout] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,727: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,729: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,732: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,734: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,735: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,738: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,741: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,745: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,748: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:35963/
[rosmaster.master][INFO] 2021-12-21 13:54:08,818: publisherUpdate[/rosout] -> http://FM00351-u:34923/ ['http://FM00351-u:35963/']
[rosmaster.master][INFO] 2021-12-21 13:54:08,830: publisherUpdate[/rosout] -> http://FM00351-u:34923/ ['http://FM00351-u:35963/']: sec=0.01, result=[1, '', 0]
