[rosmaster.main][INFO] 2021-12-21 12:57:23,051: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 12:57:23,051: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 12:57:23,052: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 12:57:23,052: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 12:57:23,052: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 12:57:23,052: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 12:57:23,093: +PUB [/rosout] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,096: +SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,097: +SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,098: +PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,099: +SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,101: -SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,101: -PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,101: -PUB [/rosout] /robotiq2FGripper http://FM00351-u:41577/
[rosmaster.master][INFO] 2021-12-21 12:57:23,101: -SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper rosrpc://FM00351-u:34203
[rosmaster.master][INFO] 2021-12-21 12:57:23,101: -SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper rosrpc://FM00351-u:34203
[rosmaster.master][INFO] 2021-12-21 12:57:23,135: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:57:23,136: +PARAM [/roslaunch/uris/host_fm00351_u__44757] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:57:23,226: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:57:23,226: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:57:23,232: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:45861/
[rosmaster.master][INFO] 2021-12-21 12:57:23,232: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:45861/
[rosmaster.master][INFO] 2021-12-21 12:57:23,233: +PUB [/rosout_agg] /rosout http://FM00351-u:45861/
[rosmaster.master][INFO] 2021-12-21 12:57:23,234: +SUB [/rosout] /rosout http://FM00351-u:45861/
[rosmaster.master][INFO] 2021-12-21 12:57:23,544: +PUB [/rosout] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,549: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,550: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,552: publisherUpdate[/rosout] -> http://FM00351-u:45861/ ['http://FM00351-u:39357/']
[rosmaster.master][INFO] 2021-12-21 12:57:23,555: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,556: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,556: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,557: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,558: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,559: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,559: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:39357/
[rosmaster.master][INFO] 2021-12-21 12:57:23,562: publisherUpdate[/rosout] -> http://FM00351-u:45861/ ['http://FM00351-u:39357/']: sec=0.01, result=[1, '', 0]
