

1640093186.859939323  Node Startup
1640093254.263134002 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640093256.369399070 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093257.552479743 INFO /sensor/process_tactile_pressure [pressure_LocAndForceEstimation.py:95(LocAndForceEstimation.start)] [topics: /rosout, /sensor/pressure_reset, /sensor/pressure_data, /sensor/estimated_ForceAndLoc] pressure data processing package started 
1640093271.371792078 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093271.375685930 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093286.376885890 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093286.377827882 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093301.379882097 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093301.383827924 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093316.384954929 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093316.385801076 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093331.387382984 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093331.388181924 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093346.391400098 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093346.393729925 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093361.394844055 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093361.395703077 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093376.398580074 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093376.400804042 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093391.403127908 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093391.404062032 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093406.405535936 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093406.406404972 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093421.408489942 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093421.409338951 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093436.410675048 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093436.411533117 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093451.413535118 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093451.414551019 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093466.416028976 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093466.417099952 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093481.419008016 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093481.419719934 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093496.422079086 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093496.424099922 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093511.426407098 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093511.427233934 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093526.428822994 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093526.429724931 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093541.431539058 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093541.432569026 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093556.435818910 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640093556.439729928 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640093571.442635059 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
