[rosmaster.main][INFO] 2021-12-21 13:40:50,595: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 13:40:50,595: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 13:40:50,596: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 13:40:50,596: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 13:40:50,596: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 13:40:50,596: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 13:40:50,628: +PUB [/rosout] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,632: +SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,632: +SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,633: +PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,634: +SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,635: -SUB [/Robotiq2FGripperRobotOutput] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,635: -PUB [/Robotiq2FGripperRobotInput] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,635: -PUB [/rosout] /robotiq2FGripper http://FM00351-u:36641/
[rosmaster.master][INFO] 2021-12-21 13:40:50,635: -SERVICE [/robotiq2FGripper/set_logger_level] /robotiq2FGripper rosrpc://FM00351-u:40547
[rosmaster.master][INFO] 2021-12-21 13:40:50,635: -SERVICE [/robotiq2FGripper/get_loggers] /robotiq2FGripper rosrpc://FM00351-u:40547
[rosmaster.master][INFO] 2021-12-21 13:40:50,674: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:40:50,674: +PARAM [/roslaunch/uris/host_fm00351_u__43759] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:40:50,765: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:40:50,765: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:40:50,771: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:33533/
[rosmaster.master][INFO] 2021-12-21 13:40:50,771: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:33533/
[rosmaster.master][INFO] 2021-12-21 13:40:50,772: +PUB [/rosout_agg] /rosout http://FM00351-u:33533/
[rosmaster.master][INFO] 2021-12-21 13:40:50,772: +SUB [/rosout] /rosout http://FM00351-u:33533/
[rosmaster.master][INFO] 2021-12-21 13:40:51,083: +PUB [/rosout] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,085: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,085: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,086: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,087: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,087: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,088: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,089: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,091: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,091: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:41971/
[rosmaster.master][INFO] 2021-12-21 13:40:51,096: publisherUpdate[/rosout] -> http://FM00351-u:33533/ ['http://FM00351-u:41971/']
[rosmaster.master][INFO] 2021-12-21 13:40:51,103: publisherUpdate[/rosout] -> http://FM00351-u:33533/ ['http://FM00351-u:41971/']: sec=0.01, result=[1, '', 0]
