[rosmaster.main][INFO] 2021-12-21 11:24:55,141: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 11:24:55,142: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 11:24:55,143: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 11:24:55,144: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 11:24:55,144: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 11:24:55,144: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 11:24:55,190: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 11:24:55,192: +PARAM [/roslaunch/uris/host_fm00351_u__35019] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 11:24:55,308: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 11:24:55,308: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 11:24:55,314: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:37491/
[rosmaster.master][INFO] 2021-12-21 11:24:55,314: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:37491/
[rosmaster.master][INFO] 2021-12-21 11:24:55,316: +PUB [/rosout_agg] /rosout http://FM00351-u:37491/
[rosmaster.master][INFO] 2021-12-21 11:24:55,317: +SUB [/rosout] /rosout http://FM00351-u:37491/
[rosmaster.master][INFO] 2021-12-21 11:24:55,684: +PUB [/rosout] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,686: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,687: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,689: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,690: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,691: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,693: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,693: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,695: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,696: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:39239/
[rosmaster.master][INFO] 2021-12-21 11:24:55,743: publisherUpdate[/rosout] -> http://FM00351-u:37491/ ['http://FM00351-u:39239/']
[rosmaster.master][INFO] 2021-12-21 11:24:55,753: publisherUpdate[/rosout] -> http://FM00351-u:37491/ ['http://FM00351-u:39239/']: sec=0.01, result=[1, '', 0]
