[rosmaster.main][INFO] 2021-12-21 12:08:00,103: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 12:08:00,103: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 12:08:00,104: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 12:08:00,104: Started XML-RPC server [http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 12:08:00,104: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 12:08:00,104: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 12:08:00,184: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,186: +PARAM [/roslaunch/uris/host_fm00351_u__39885] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,280: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,280: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,280: +PARAM [/baud_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,280: +PARAM [/port_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 12:08:00,285: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:35795/
[rosmaster.master][INFO] 2021-12-21 12:08:00,286: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:35795/
[rosmaster.master][INFO] 2021-12-21 12:08:00,287: +PUB [/rosout_agg] /rosout http://FM00351-u:35795/
[rosmaster.master][INFO] 2021-12-21 12:08:00,290: +SUB [/rosout] /rosout http://FM00351-u:35795/
[rosmaster.master][INFO] 2021-12-21 12:08:00,631: +PUB [/rosout] /sensor/tactile_pressure http://FM00351-u:42855/
[rosmaster.master][INFO] 2021-12-21 12:08:00,634: +SERVICE [/sensor/tactile_pressure/get_loggers] /sensor/tactile_pressure http://FM00351-u:42855/
[rosmaster.master][INFO] 2021-12-21 12:08:00,635: +SERVICE [/sensor/tactile_pressure/set_logger_level] /sensor/tactile_pressure http://FM00351-u:42855/
[rosmaster.master][INFO] 2021-12-21 12:08:00,635: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 12:08:00,637: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 12:08:00,638: +SERVICE [/sensor/tactile_pressure/reset_arduino] /sensor/tactile_pressure http://FM00351-u:42855/
[rosmaster.master][INFO] 2021-12-21 12:08:00,638: +PUB [/diagnostics] /sensor/tactile_pressure http://FM00351-u:42855/
[rosmaster.master][INFO] 2021-12-21 12:08:00,704: publisherUpdate[/rosout] -> http://FM00351-u:35795/ ['http://FM00351-u:42855/']
[rosmaster.master][INFO] 2021-12-21 12:08:00,721: publisherUpdate[/rosout] -> http://FM00351-u:35795/ ['http://FM00351-u:42855/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2021-12-21 12:08:00,926: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2021-12-21 12:08:00,952: +PUB [/rosout] /sensor/process_tactile_pressure http://FM00351-u:38227/
[rosmaster.master][INFO] 2021-12-21 12:08:00,955: +SERVICE [/sensor/process_tactile_pressure/get_loggers] /sensor/process_tactile_pressure http://FM00351-u:38227/
