[rosmaster.main][INFO] 2021-12-21 13:41:20,619: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 13:41:20,619: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 13:41:20,620: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 13:41:20,620: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 13:41:20,621: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 13:41:20,621: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 13:41:20,704: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:41:20,705: +PARAM [/roslaunch/uris/host_fm00351_u__41661] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:41:20,798: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:41:20,798: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:41:20,804: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:46645/
[rosmaster.master][INFO] 2021-12-21 13:41:20,804: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:46645/
[rosmaster.master][INFO] 2021-12-21 13:41:20,805: +PUB [/rosout_agg] /rosout http://FM00351-u:46645/
[rosmaster.master][INFO] 2021-12-21 13:41:20,806: +SUB [/rosout] /rosout http://FM00351-u:46645/
[rosmaster.master][INFO] 2021-12-21 13:41:21,115: +PUB [/rosout] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,119: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,120: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,120: publisherUpdate[/rosout] -> http://FM00351-u:46645/ ['http://FM00351-u:33487/']
[rosmaster.master][INFO] 2021-12-21 13:41:21,123: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,123: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,124: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,125: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,125: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,126: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,127: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:33487/
[rosmaster.master][INFO] 2021-12-21 13:41:21,130: publisherUpdate[/rosout] -> http://FM00351-u:46645/ ['http://FM00351-u:33487/']: sec=0.01, result=[1, '', 0]
