[rosmaster.main][INFO] 2021-12-21 14:24:41,124: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 14:24:41,125: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 14:24:41,125: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 14:24:41,125: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 14:24:41,126: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 14:24:41,126: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 14:24:41,209: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,210: +PARAM [/roslaunch/uris/host_fm00351_u__40801] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,306: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,306: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,306: +PARAM [/baud_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,306: +PARAM [/port_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 14:24:41,311: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:37749/
[rosmaster.master][INFO] 2021-12-21 14:24:41,311: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:37749/
[rosmaster.master][INFO] 2021-12-21 14:24:41,312: +PUB [/rosout_agg] /rosout http://FM00351-u:37749/
[rosmaster.master][INFO] 2021-12-21 14:24:41,313: +SUB [/rosout] /rosout http://FM00351-u:37749/
[rosmaster.master][INFO] 2021-12-21 14:24:41,653: +PUB [/rosout] /sensor/tactile_pressure http://FM00351-u:44967/
[rosmaster.master][INFO] 2021-12-21 14:24:41,654: +SERVICE [/sensor/tactile_pressure/get_loggers] /sensor/tactile_pressure http://FM00351-u:44967/
[rosmaster.master][INFO] 2021-12-21 14:24:41,655: +SERVICE [/sensor/tactile_pressure/set_logger_level] /sensor/tactile_pressure http://FM00351-u:44967/
[rosmaster.master][INFO] 2021-12-21 14:24:41,655: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 14:24:41,657: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 14:24:41,658: +SERVICE [/sensor/tactile_pressure/reset_arduino] /sensor/tactile_pressure http://FM00351-u:44967/
[rosmaster.master][INFO] 2021-12-21 14:24:41,658: +PUB [/diagnostics] /sensor/tactile_pressure http://FM00351-u:44967/
[rosmaster.master][INFO] 2021-12-21 14:24:41,726: publisherUpdate[/rosout] -> http://FM00351-u:37749/ ['http://FM00351-u:44967/']
[rosmaster.master][INFO] 2021-12-21 14:24:41,739: publisherUpdate[/rosout] -> http://FM00351-u:37749/ ['http://FM00351-u:44967/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-12-21 14:24:41,921: +PUB [/rosout] /sensor/process_tactile_pressure http://FM00351-u:41067/
[rosmaster.master][INFO] 2021-12-21 14:24:41,923: +SERVICE [/sensor/process_tactile_pressure/get_loggers] /sensor/process_tactile_pressure http://FM00351-u:41067/
