

1640096681.312465146  Node Startup
1640096681.658102035 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640096683.765106916 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096684.931699037 INFO /sensor/process_tactile_pressure [pressure_LocAndForceEstimation.py:95(LocAndForceEstimation.start)] [topics: /sensor/pressure_data, /sensor/estimated_ForceAndLoc, /rosout, /sensor/pressure_reset] pressure data processing package started 
1640096698.766616106 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096698.767406940 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096713.770912885 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096713.773235082 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096728.775017023 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096728.775971889 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096743.778842926 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096743.781886100 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096758.784678936 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096758.785507917 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096773.787290096 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096773.788187026 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096788.789258956 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096788.790102005 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096803.793509006 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096803.796279907 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096818.797856092 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096818.798578023 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096833.803548097 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096833.808832883 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096848.812120914 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096848.814518928 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096863.816556930 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096863.817363023 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096878.820259094 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096878.822885036 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096893.826870918 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096893.829649925 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096908.833511114 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096908.836113929 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096923.840169906 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096923.842873096 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096938.846714973 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096938.848633050 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096953.852073907 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096953.854552984 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096968.856594085 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096968.857340097 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096983.859729051 ERROR /sensor/tactile_pressure [SerialClient.py:468(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096983.862104892 INFO /sensor/tactile_pressure [SerialClient.py:412(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
