

1640096304.802576142  Node Startup
1640096305.135314941 INFO /sensor/tactile_pressure [serial_node.py:65(<module>)] [topics: /rosout] Connecting to /dev/ttyUSB0 at 57600 baud
1640096307.242499113 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096308.423214673 INFO /sensor/process_tactile_pressure [pressure_LocAndForceEstimation.py:95(LocAndForceEstimation.start)] [topics: /rosout, /sensor/estimated_ForceAndLoc, /sensor/pressure_data, /sensor/pressure_reset] pressure data processing package started 
1640096322.246315956 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096322.248542070 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096337.251842021 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096337.254255056 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096352.257620096 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096352.260298013 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096367.262209892 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096367.263118028 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096382.265019893 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096382.265674114 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096397.269200086 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096397.271709918 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096412.274224042 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096412.275082111 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096427.276582956 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096427.277370929 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096442.279467105 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096442.280324935 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096457.281688928 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096457.282602071 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096472.284465074 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096472.285471916 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096487.286693096 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096487.287563085 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096502.289652109 ERROR /sensor/tactile_pressure [SerialClient.py:463(SerialClient.run)] [topics: /diagnostics, /rosout] Unable to sync with device; possible link problem or link software version mismatch such as hydro rosserial_python with groovy Arduino
1640096502.290474891 INFO /sensor/tactile_pressure [SerialClient.py:404(SerialClient.requestTopics)] [topics: /diagnostics, /rosout] Requesting topics...
1640096504.095282077 INFO /sensor/tactile_pressure [SerialClient.py:423(SerialClient.txStopRequest)] [topics: /diagnostics, /rosout] Send tx stop request
