[rosmaster.main][INFO] 2021-12-21 13:06:57,415: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 13:06:57,415: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 13:06:57,416: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 13:06:57,416: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 13:06:57,416: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 13:06:57,416: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 13:06:57,502: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,504: +PARAM [/roslaunch/uris/host_fm00351_u__46095] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,604: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,605: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,605: +PARAM [/baud_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,605: +PARAM [/port_pressure] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 13:06:57,610: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:32827/
[rosmaster.master][INFO] 2021-12-21 13:06:57,610: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:32827/
[rosmaster.master][INFO] 2021-12-21 13:06:57,610: +PUB [/rosout_agg] /rosout http://FM00351-u:32827/
[rosmaster.master][INFO] 2021-12-21 13:06:57,611: +SUB [/rosout] /rosout http://FM00351-u:32827/
[rosmaster.master][INFO] 2021-12-21 13:06:57,937: +PUB [/rosout] /sensor/tactile_pressure http://FM00351-u:45287/
[rosmaster.master][INFO] 2021-12-21 13:06:57,939: +SERVICE [/sensor/tactile_pressure/get_loggers] /sensor/tactile_pressure http://FM00351-u:45287/
[rosmaster.master][INFO] 2021-12-21 13:06:57,939: +SERVICE [/sensor/tactile_pressure/set_logger_level] /sensor/tactile_pressure http://FM00351-u:45287/
[rosmaster.master][INFO] 2021-12-21 13:06:57,940: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 13:06:57,942: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 13:06:57,942: +SERVICE [/sensor/tactile_pressure/reset_arduino] /sensor/tactile_pressure http://FM00351-u:45287/
[rosmaster.master][INFO] 2021-12-21 13:06:57,943: +PUB [/diagnostics] /sensor/tactile_pressure http://FM00351-u:45287/
[rosmaster.master][INFO] 2021-12-21 13:06:57,943: +CACHEDPARAM [/rosout_disable_topics_generation] by /sensor/tactile_pressure
[rosmaster.master][INFO] 2021-12-21 13:06:58,016: publisherUpdate[/rosout] -> http://FM00351-u:32827/ ['http://FM00351-u:45287/']
