[rosmaster.main][INFO] 2021-12-21 10:58:48,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-12-21 10:58:48,789: Starting ROS Master Node
[xmlrpc][INFO] 2021-12-21 10:58:48,790: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-12-21 10:58:48,790: Started XML-RPC server [http://FM00351-u:11311/]
[xmlrpc][INFO] 2021-12-21 10:58:48,790: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-12-21 10:58:48,790: Master initialized: port[11311], uri[http://FM00351-u:11311/]
[rosmaster.master][INFO] 2021-12-21 10:58:48,838: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 10:58:48,839: +PARAM [/roslaunch/uris/host_fm00351_u__40601] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 10:58:48,957: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 10:58:48,957: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-12-21 10:58:48,962: +SERVICE [/rosout/get_loggers] /rosout http://FM00351-u:35867/
[rosmaster.master][INFO] 2021-12-21 10:58:48,962: +SERVICE [/rosout/set_logger_level] /rosout http://FM00351-u:35867/
[rosmaster.master][INFO] 2021-12-21 10:58:48,963: +PUB [/rosout_agg] /rosout http://FM00351-u:35867/
[rosmaster.master][INFO] 2021-12-21 10:58:48,965: +SUB [/rosout] /rosout http://FM00351-u:35867/
[rosmaster.master][INFO] 2021-12-21 10:58:49,337: +PUB [/rosout] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,342: +SERVICE [/frogs/get_loggers] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,344: +SERVICE [/frogs/set_logger_level] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,346: +PUB [/gripper_action_server/status] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,347: +PUB [/gripper_action_server/result] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,348: +PUB [/gripper_action_server/feedback] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,350: +SUB [/gripper_action_server/goal] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,350: +SUB [/gripper_action_server/cancel] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,352: +PUB [/Robotiq2FGripperRobotOutput] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,353: +SUB [/Robotiq2FGripperRobotInput] /frogs http://FM00351-u:39923/
[rosmaster.master][INFO] 2021-12-21 10:58:49,391: publisherUpdate[/rosout] -> http://FM00351-u:35867/ ['http://FM00351-u:39923/']
[rosmaster.master][INFO] 2021-12-21 10:58:49,400: publisherUpdate[/rosout] -> http://FM00351-u:35867/ ['http://FM00351-u:39923/']: sec=0.01, result=[1, '', 0]
